"simname","nc","hfr","cf","rep","metric","value"
"RandClustTest",50,0.3,0.1,1,"ta",750
"RandClustTest",50,0.3,0.1,1,"tna",817
"RandClustTest",50,0.3,0.1,1,"tnpatch",135
"RandClustTest",50,0.3,0.1,1,"tnperim",1436
"RandClustTest",50,0.3,0.1,1,"tnndf",55.4787086646191
"RandClustTest",50,0.3,0.4,1,"ta",750
"RandClustTest",50,0.3,0.4,1,"tna",768
"RandClustTest",50,0.3,0.4,1,"tnpatch",36
"RandClustTest",50,0.3,0.4,1,"tnperim",776
"RandClustTest",50,0.3,0.4,1,"tnndf",51.2819726495749
"RandClustTest",50,0.3,0.6,1,"ta",750
"RandClustTest",50,0.3,0.6,1,"tna",98
"RandClustTest",50,0.3,0.6,1,"tnpatch",20
"RandClustTest",50,0.3,0.6,1,"tnperim",172
"RandClustTest",50,0.3,0.6,1,"tnndf",119.03166789144
