"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
"all",0,NA,"foc_ha",6.25,"landscape",1,125,10,NA
"all",0,NA,"npatch",9,"landscape",1,125,10,NA
"all",0,NA,"tpa_ha",0.09,"landscape",1,125,10,NA
"all",0,NA,"mnpa_ha",0.01,"landscape",1,125,10,NA
"all",0,10,"MPCraw",2000.24192337342,"landscape",1,125,10,NA
"all",0,10,"MPCdens",2.22249102597047,"landscape",1,125,10,NA
"all",0,10,"MPCrmax",0.000128015483095899,"landscape",1,125,10,NA
"all",0,100,"MPCraw",4703.07618622518,"landscape",1,125,10,NA
"all",0,100,"MPCdens",5.22564020691686,"landscape",1,125,10,NA
"all",0,100,"MPCrmax",0.000300996875918411,"landscape",1,125,10,NA
"all",0,500,"MPCraw",7721.68930939281,"landscape",1,125,10,NA
"all",0,500,"MPCdens",8.57965478821423,"landscape",1,125,10,NA
"all",0,500,"MPCrmax",0.00049418811580114,"landscape",1,125,10,NA
"all",0,10,"MPCpimp",0.15943401917069,"landscape",1,125,10,NA
"all",0,100,"MPCpimp",0.33135166373263,"landscape",1,125,10,NA
"all",0,500,"MPCpimp",0.333213500142906,"landscape",1,125,10,NA
"all",0,10,"ECA",358.895316319537,"landscape",1,125,10,NA
"all",0,10,"ECA_AP",0.398772573688374,"landscape",1,125,10,NA
"all",0,100,"ECA",647.412113254954,"landscape",1,125,10,NA
"all",0,100,"ECA_AP",0.719346792505505,"landscape",1,125,10,NA
"all",0,500,"ECA",833.346275131986,"landscape",1,125,10,NA
"all",0,500,"ECA_AP",0.925940305702207,"landscape",1,125,10,NA
"all",0,10,"ECAimp",7.55508446001644,"landscape",1,125,10,NA
"all",0,100,"ECAimp",10.4729413230202,"landscape",1,125,10,NA
"all",0,500,"ECAimp",10.9962525993619,"landscape",1,125,10,NA
"all",0,10,"BC",0.111111111111111,"landscape",1,125,10,NA
"all",0,10,"ND",1.11111111111111,"landscape",1,125,10,NA
"all",0,100,"BC",2.44444444444444,"landscape",1,125,10,NA
"all",0,100,"ND",7.77777777777778,"landscape",1,125,10,NA
"all",0,500,"BC",2.44444444444444,"landscape",1,125,10,NA
"all",0,500,"ND",7.77777777777778,"landscape",1,125,10,NA
"all",0,NA,"NND",12.8950569727378,"landscape",1,125,10,NA
"all",0,NA,"eucdist",49.2173377659695,"landscape",1,125,10,NA
