"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
"all",0,NA,"foc_ha",2.56,"landscape",1,80,1,50
"all",0,NA,"npatch",5,"landscape",1,80,1,50
"all",0,NA,"tpa_ha",0.0545,"landscape",1,80,1,50
"all",0,NA,"mnpa_ha",0.0109,"landscape",1,80,1,50
"all",0,10,"MPCraw",2710.41094859315,"landscape",1,80,1,50
"all",0,10,"MPCdens",4.97323109833606,"landscape",1,80,1,50
"all",0,10,"MPCrmax",0.000661721422996375,"landscape",1,80,1,50
"all",0,100,"MPCraw",5163.0350407772,"landscape",1,80,1,50
"all",0,100,"MPCdens",9.47345879041687,"landscape",1,80,1,50
"all",0,100,"MPCrmax",0.00126050660175225,"landscape",1,80,1,50
"all",0,500,"MPCraw",5652.27729379536,"landscape",1,80,1,50
"all",0,500,"MPCdens",10.3711509977896,"landscape",1,80,1,50
"all",0,500,"MPCrmax",0.00137995051118051,"landscape",1,80,1,50
"all",0,10,"MPCpimp",0.41543891318417,"landscape",1,80,1,50
"all",0,100,"MPCpimp",0.444066813840032,"landscape",1,80,1,50
"all",0,500,"MPCpimp",0.444748682520005,"landscape",1,80,1,50
"all",0,10,"ECA",359.312608058919,"landscape",1,80,1,50
"all",0,10,"ECA_AP",0.659289189098934,"landscape",1,80,1,50
"all",0,100,"ECA",513.993798174395,"landscape",1,80,1,50
"all",0,100,"ECA_AP",0.943107886558523,"landscape",1,80,1,50
"all",0,500,"ECA",538.449598100778,"landscape",1,80,1,50
"all",0,500,"ECA_AP",0.987980913946381,"landscape",1,80,1,50
"all",0,10,"ECAimp",16.7258860735814,"landscape",1,80,1,50
"all",0,100,"ECAimp",19.6752326826331,"landscape",1,80,1,50
"all",0,500,"ECAimp",19.9353466108681,"landscape",1,80,1,50
"all",0,10,"BC",0.8,"landscape",1,80,1,50
"all",0,10,"ND",4,"landscape",1,80,1,50
"all",0,100,"BC",0.8,"landscape",1,80,1,50
"all",0,100,"ND",4,"landscape",1,80,1,50
"all",0,500,"BC",0.8,"landscape",1,80,1,50
"all",0,500,"ND",4,"landscape",1,80,1,50
"all",0,NA,"NND",6.61760149812701,"landscape",1,80,1,50
"all",0,NA,"eucdist",4.41972761983871,"landscape",1,80,1,50
