"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
3,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
6,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
7,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
4,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
5,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
8,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
9,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
1,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
2,0,NA,"pa_ha",0.01,"patch",1,125,10,NA
3,0,10,"MPCpimp",7.14255491231732e-06,"patch",1,125,10,NA
6,0,10,"MPCpimp",0.00515272970703786,"patch",1,125,10,NA
7,0,10,"MPCpimp",0.0153847714005734,"patch",1,125,10,NA
4,0,10,"MPCpimp",0.000139383691049813,"patch",1,125,10,NA
5,0,10,"MPCpimp",0.000193456981784176,"patch",1,125,10,NA
8,0,10,"MPCpimp",0.707061742938545,"patch",1,125,10,NA
9,0,10,"MPCpimp",0.706965623600553,"patch",1,125,10,NA
1,0,10,"MPCpimp",6.37779226418789e-07,"patch",1,125,10,NA
2,0,10,"MPCpimp",6.83882526671734e-07,"patch",1,125,10,NA
3,0,100,"MPCpimp",0.310930240447698,"patch",1,125,10,NA
6,0,100,"MPCpimp",0.362634165335435,"patch",1,125,10,NA
7,0,100,"MPCpimp",0.337463212731985,"patch",1,125,10,NA
4,0,100,"MPCpimp",0.385512945061457,"patch",1,125,10,NA
5,0,100,"MPCpimp",0.381098124173992,"patch",1,125,10,NA
8,0,100,"MPCpimp",0.32872985988232,"patch",1,125,10,NA
9,0,100,"MPCpimp",0.306998715249907,"patch",1,125,10,NA
1,0,100,"MPCpimp",0.285893328843492,"patch",1,125,10,NA
2,0,100,"MPCpimp",0.282904381867383,"patch",1,125,10,NA
3,0,500,"MPCpimp",0.330855701305906,"patch",1,125,10,NA
6,0,500,"MPCpimp",0.341067657942209,"patch",1,125,10,NA
7,0,500,"MPCpimp",0.333961440957387,"patch",1,125,10,NA
4,0,500,"MPCpimp",0.346443522686171,"patch",1,125,10,NA
5,0,500,"MPCpimp",0.346174521522933,"patch",1,125,10,NA
8,0,500,"MPCpimp",0.330602131009352,"patch",1,125,10,NA
9,0,500,"MPCpimp",0.325040884713867,"patch",1,125,10,NA
1,0,500,"MPCpimp",0.322529837131556,"patch",1,125,10,NA
2,0,500,"MPCpimp",0.322245804016778,"patch",1,125,10,NA
3,0,10,"ECAimp",4.2115801705439,"patch",1,125,10,NA
6,0,10,"ECAimp",5.1649391885151,"patch",1,125,10,NA
7,0,10,"ECAimp",5.23548356257553,"patch",1,125,10,NA
4,0,10,"ECAimp",7.26703502111393,"patch",1,125,10,NA
5,0,10,"ECAimp",7.05660746663454,"patch",1,125,10,NA
8,0,10,"ECAimp",12.592429006623,"patch",1,125,10,NA
9,0,10,"ECAimp",12.4649555363363,"patch",1,125,10,NA
1,0,10,"ECAimp",7.0030084937682,"patch",1,125,10,NA
2,0,10,"ECAimp",6.99972169403756,"patch",1,125,10,NA
3,0,100,"ECAimp",9.70059079362052,"patch",1,125,10,NA
6,0,100,"ECAimp",11.3807689135799,"patch",1,125,10,NA
7,0,100,"ECAimp",10.5280247945889,"patch",1,125,10,NA
4,0,100,"ECAimp",12.2539767845053,"patch",1,125,10,NA
5,0,100,"ECAimp",12.0770209435644,"patch",1,125,10,NA
8,0,100,"ECAimp",10.3924398794213,"patch",1,125,10,NA
9,0,100,"ECAimp",9.61249191769331,"patch",1,125,10,NA
1,0,100,"ECAimp",9.21324169304351,"patch",1,125,10,NA
2,0,100,"ECAimp",9.09791618716477,"patch",1,125,10,NA
3,0,500,"ECAimp",10.903996386266,"patch",1,125,10,NA
6,0,500,"ECAimp",11.2795664073929,"patch",1,125,10,NA
7,0,500,"ECAimp",11.0167518432065,"patch",1,125,10,NA
4,0,500,"ECAimp",11.4828338935472,"patch",1,125,10,NA
5,0,500,"ECAimp",11.4734208401146,"patch",1,125,10,NA
8,0,500,"ECAimp",10.9004158426804,"patch",1,125,10,NA
9,0,500,"ECAimp",10.6940556728556,"patch",1,125,10,NA
1,0,500,"ECAimp",10.6126880558975,"patch",1,125,10,NA
2,0,500,"ECAimp",10.6025444522968,"patch",1,125,10,NA
3,0,10,"BC",0,"patch",1,125,10,NA
6,0,10,"BC",0,"patch",1,125,10,NA
7,0,10,"BC",0,"patch",1,125,10,NA
4,0,10,"BC",1,"patch",1,125,10,NA
5,0,10,"BC",0,"patch",1,125,10,NA
