"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
27,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
32,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
36,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
37,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
15,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
28,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
9,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
21,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
20,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
6,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
1,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
25,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
17,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
23,0,NA,"pa_ha",0.0097,"patch",32,80,1,50
2,0,NA,"pa_ha",0.0092,"patch",32,80,1,50
35,0,NA,"pa_ha",0.0012,"patch",32,80,1,50
27,0,10,"MPCpimp",0.396928545106891,"patch",32,80,1,50
32,0,10,"MPCpimp",0.492149599252156,"patch",32,80,1,50
36,0,10,"MPCpimp",0.521046198846665,"patch",32,80,1,50
37,0,10,"MPCpimp",0.420808826873354,"patch",32,80,1,50
15,0,10,"MPCpimp",0.132988685935316,"patch",32,80,1,50
28,0,10,"MPCpimp",0.302459832246294,"patch",32,80,1,50
9,0,10,"MPCpimp",0.0840876295702342,"patch",32,80,1,50
21,0,10,"MPCpimp",0.15881488547848,"patch",32,80,1,50
20,0,10,"MPCpimp",0.0591095843006661,"patch",32,80,1,50
6,0,10,"MPCpimp",0.0258546793500874,"patch",32,80,1,50
1,0,10,"MPCpimp",0.0189487356232534,"patch",32,80,1,50
25,0,10,"MPCpimp",0.0484135811357021,"patch",32,80,1,50
17,0,10,"MPCpimp",0.0365167220484217,"patch",32,80,1,50
23,0,10,"MPCpimp",0.044265683297881,"patch",32,80,1,50
2,0,10,"MPCpimp",0.00676159503515295,"patch",32,80,1,50
35,0,10,"MPCpimp",0.00157360339176883,"patch",32,80,1,50
27,0,100,"MPCpimp",0.247442511165987,"patch",32,80,1,50
32,0,100,"MPCpimp",0.241847620869969,"patch",32,80,1,50
36,0,100,"MPCpimp",0.248698721882189,"patch",32,80,1,50
37,0,100,"MPCpimp",0.255109347717318,"patch",32,80,1,50
15,0,100,"MPCpimp",0.273517305653401,"patch",32,80,1,50
28,0,100,"MPCpimp",0.275666396893456,"patch",32,80,1,50
9,0,100,"MPCpimp",0.267415311808959,"patch",32,80,1,50
21,0,100,"MPCpimp",0.285529984390084,"patch",32,80,1,50
20,0,100,"MPCpimp",0.281586229928739,"patch",32,80,1,50
6,0,100,"MPCpimp",0.25749887379641,"patch",32,80,1,50
1,0,100,"MPCpimp",0.238625440719861,"patch",32,80,1,50
25,0,100,"MPCpimp",0.262455759506037,"patch",32,80,1,50
17,0,100,"MPCpimp",0.256270877071605,"patch",32,80,1,50
23,0,100,"MPCpimp",0.250748146289479,"patch",32,80,1,50
2,0,100,"MPCpimp",0.211237650381838,"patch",32,80,1,50
