"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
1,0,NA,"eucdist",125.299644470215,"pixel",1,125,10,NA
2,0,NA,"eucdist",120.830459594727,"pixel",1,125,10,NA
3,0,NA,"eucdist",117.046997070312,"pixel",1,125,10,NA
4,0,NA,"eucdist",114.017547607422,"pixel",1,125,10,NA
5,0,NA,"eucdist",111.803398132324,"pixel",1,125,10,NA
6,0,NA,"eucdist",110.453605651855,"pixel",1,125,10,NA
7,0,NA,"eucdist",110,"pixel",1,125,10,NA
8,0,NA,"eucdist",110.453605651855,"pixel",1,125,10,NA
9,0,NA,"eucdist",111.803398132324,"pixel",1,125,10,NA
10,0,NA,"eucdist",114.017547607422,"pixel",1,125,10,NA
11,0,NA,"eucdist",117.046997070312,"pixel",1,125,10,NA
12,0,NA,"eucdist",120.830459594727,"pixel",1,125,10,NA
13,0,NA,"eucdist",123.693168640137,"pixel",1,125,10,NA
14,0,NA,"eucdist",121.655258178711,"pixel",1,125,10,NA
15,0,NA,"eucdist",120.415946960449,"pixel",1,125,10,NA
16,0,NA,"eucdist",120,"pixel",1,125,10,NA
17,0,NA,"eucdist",120.415946960449,"pixel",1,125,10,NA
18,0,NA,"eucdist",120.415946960449,"pixel",1,125,10,NA
19,0,NA,"eucdist",120,"pixel",1,125,10,NA
20,0,NA,"eucdist",120.415946960449,"pixel",1,125,10,NA
21,0,NA,"eucdist",121.655258178711,"pixel",1,125,10,NA
22,0,NA,"eucdist",123.693168640137,"pixel",1,125,10,NA
23,0,NA,"eucdist",116.619033813477,"pixel",1,125,10,NA
24,0,NA,"eucdist",111.803398132324,"pixel",1,125,10,NA
25,0,NA,"eucdist",107.70329284668,"pixel",1,125,10,NA
26,0,NA,"eucdist",104.40306854248,"pixel",1,125,10,NA
27,0,NA,"eucdist",101.980392456055,"pixel",1,125,10,NA
28,0,NA,"eucdist",100.498748779297,"pixel",1,125,10,NA
29,0,NA,"eucdist",100,"pixel",1,125,10,NA
30,0,NA,"eucdist",100.498748779297,"pixel",1,125,10,NA
31,0,NA,"eucdist",101.980392456055,"pixel",1,125,10,NA
32,0,NA,"eucdist",104.40306854248,"pixel",1,125,10,NA
33,0,NA,"eucdist",107.70329284668,"pixel",1,125,10,NA
34,0,NA,"eucdist",111.803398132324,"pixel",1,125,10,NA
35,0,NA,"eucdist",114.017547607422,"pixel",1,125,10,NA
36,0,NA,"eucdist",111.803398132324,"pixel",1,125,10,NA
37,0,NA,"eucdist",110.453605651855,"pixel",1,125,10,NA
38,0,NA,"eucdist",110,"pixel",1,125,10,NA
39,0,NA,"eucdist",110.453605651855,"pixel",1,125,10,NA
40,0,NA,"eucdist",110.453605651855,"pixel",1,125,10,NA
41,0,NA,"eucdist",110,"pixel",1,125,10,NA
42,0,NA,"eucdist",110.453605651855,"pixel",1,125,10,NA
43,0,NA,"eucdist",111.803398132324,"pixel",1,125,10,NA
44,0,NA,"eucdist",114.017547607422,"pixel",1,125,10,NA
45,0,NA,"eucdist",108.166542053223,"pixel",1,125,10,NA
46,0,NA,"eucdist",102.95630645752,"pixel",1,125,10,NA
47,0,NA,"eucdist",98.4885787963867,"pixel",1,125,10,NA
48,0,NA,"eucdist",94.8683242797852,"pixel",1,125,10,NA
49,0,NA,"eucdist",92.195442199707,"pixel",1,125,10,NA
50,0,NA,"eucdist",90.5538558959961,"pixel",1,125,10,NA
51,0,NA,"eucdist",90,"pixel",1,125,10,NA
52,0,NA,"eucdist",90.5538558959961,"pixel",1,125,10,NA
53,0,NA,"eucdist",92.195442199707,"pixel",1,125,10,NA
54,0,NA,"eucdist",94.8683242797852,"pixel",1,125,10,NA
55,0,NA,"eucdist",98.4885787963867,"pixel",1,125,10,NA
56,0,NA,"eucdist",102.95630645752,"pixel",1,125,10,NA
57,0,NA,"eucdist",104.40306854248,"pixel",1,125,10,NA
58,0,NA,"eucdist",101.980392456055,"pixel",1,125,10,NA
59,0,NA,"eucdist",100.498748779297,"pixel",1,125,10,NA
60,0,NA,"eucdist",100,"pixel",1,125,10,NA
61,0,NA,"eucdist",100.498748779297,"pixel",1,125,10,NA
62,0,NA,"eucdist",100.498748779297,"pixel",1,125,10,NA
63,0,NA,"eucdist",100,"pixel",1,125,10,NA
64,0,NA,"eucdist",100.498748779297,"pixel",1,125,10,NA
65,0,NA,"eucdist",101.980392456055,"pixel",1,125,10,NA
66,0,NA,"eucdist",104.40306854248,"pixel",1,125,10,NA
67,0,NA,"eucdist",100,"pixel",1,125,10,NA
68,0,NA,"eucdist",94.3398132324219,"pixel",1,125,10,NA
69,0,NA,"eucdist",89.4427185058594,"pixel",1,125,10,NA
70,0,NA,"eucdist",85.4400329589844,"pixel",1,125,10,NA
71,0,NA,"eucdist",82.4621124267578,"pixel",1,125,10,NA
72,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
73,0,NA,"eucdist",80,"pixel",1,125,10,NA
74,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
75,0,NA,"eucdist",82.4621124267578,"pixel",1,125,10,NA
76,0,NA,"eucdist",85.4400329589844,"pixel",1,125,10,NA
77,0,NA,"eucdist",89.4427185058594,"pixel",1,125,10,NA
78,0,NA,"eucdist",94.3398132324219,"pixel",1,125,10,NA
79,0,NA,"eucdist",94.8683242797852,"pixel",1,125,10,NA
80,0,NA,"eucdist",92.195442199707,"pixel",1,125,10,NA
81,0,NA,"eucdist",90.5538558959961,"pixel",1,125,10,NA
82,0,NA,"eucdist",90,"pixel",1,125,10,NA
83,0,NA,"eucdist",90.5538558959961,"pixel",1,125,10,NA
84,0,NA,"eucdist",90.5538558959961,"pixel",1,125,10,NA
85,0,NA,"eucdist",90,"pixel",1,125,10,NA
86,0,NA,"eucdist",90.5538558959961,"pixel",1,125,10,NA
87,0,NA,"eucdist",92.195442199707,"pixel",1,125,10,NA
88,0,NA,"eucdist",94.8683242797852,"pixel",1,125,10,NA
89,0,NA,"eucdist",92.195442199707,"pixel",1,125,10,NA
90,0,NA,"eucdist",86.0232543945312,"pixel",1,125,10,NA
91,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
92,0,NA,"eucdist",76.1577301025391,"pixel",1,125,10,NA
93,0,NA,"eucdist",72.8011016845703,"pixel",1,125,10,NA
94,0,NA,"eucdist",70.7106781005859,"pixel",1,125,10,NA
95,0,NA,"eucdist",70,"pixel",1,125,10,NA
96,0,NA,"eucdist",70.7106781005859,"pixel",1,125,10,NA
97,0,NA,"eucdist",72.8011016845703,"pixel",1,125,10,NA
98,0,NA,"eucdist",76.1577301025391,"pixel",1,125,10,NA
99,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
100,0,NA,"eucdist",86.0232543945312,"pixel",1,125,10,NA
101,0,NA,"eucdist",85.4400329589844,"pixel",1,125,10,NA
102,0,NA,"eucdist",82.4621124267578,"pixel",1,125,10,NA
103,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
104,0,NA,"eucdist",80,"pixel",1,125,10,NA
105,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
106,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
107,0,NA,"eucdist",80,"pixel",1,125,10,NA
108,0,NA,"eucdist",80.6225738525391,"pixel",1,125,10,NA
109,0,NA,"eucdist",82.4621124267578,"pixel",1,125,10,NA
110,0,NA,"eucdist",85.4400329589844,"pixel",1,125,10,NA
111,0,NA,"eucdist",84.8528137207031,"pixel",1,125,10,NA
112,0,NA,"eucdist",78.1025009155273,"pixel",1,125,10,NA
113,0,NA,"eucdist",72.1110229492188,"pixel",1,125,10,NA
114,0,NA,"eucdist",67.0820388793945,"pixel",1,125,10,NA
115,0,NA,"eucdist",63.2455520629883,"pixel",1,125,10,NA
116,0,NA,"eucdist",60.8276290893555,"pixel",1,125,10,NA
117,0,NA,"eucdist",60,"pixel",1,125,10,NA
118,0,NA,"eucdist",60.8276290893555,"pixel",1,125,10,NA
119,0,NA,"eucdist",63.2455520629883,"pixel",1,125,10,NA
120,0,NA,"eucdist",67.0820388793945,"pixel",1,125,10,NA
121,0,NA,"eucdist",72.1110229492188,"pixel",1,125,10,NA
122,0,NA,"eucdist",78.1025009155273,"pixel",1,125,10,NA
123,0,NA,"eucdist",76.1577301025391,"pixel",1,125,10,NA
124,0,NA,"eucdist",72.8011016845703,"pixel",1,125,10,NA
125,0,NA,"eucdist",70.7106781005859,"pixel",1,125,10,NA
126,0,NA,"eucdist",70,"pixel",1,125,10,NA
127,0,NA,"eucdist",70.7106781005859,"pixel",1,125,10,NA
128,0,NA,"eucdist",70.7106781005859,"pixel",1,125,10,NA
129,0,NA,"eucdist",70,"pixel",1,125,10,NA
130,0,NA,"eucdist",70.7106781005859,"pixel",1,125,10,NA
131,0,NA,"eucdist",72.8011016845703,"pixel",1,125,10,NA
