"pid","minsize","alpha","metric","value","level","cid","radius","resolution","incr"
1,0,NA,"eucdist",25.7099208831787,"pixel",23,80,1,50
2,0,NA,"eucdist",24.7386341094971,"pixel",23,80,1,50
3,0,NA,"eucdist",23.7697277069092,"pixel",23,80,1,50
4,0,NA,"eucdist",22.8035087585449,"pixel",23,80,1,50
5,0,NA,"eucdist",21.8403301239014,"pixel",23,80,1,50
6,0,NA,"eucdist",20.8806133270264,"pixel",23,80,1,50
7,0,NA,"eucdist",19.9248580932617,"pixel",23,80,1,50
8,0,NA,"eucdist",18.9736652374268,"pixel",23,80,1,50
9,0,NA,"eucdist",18.0277557373047,"pixel",23,80,1,50
10,0,NA,"eucdist",17.0880069732666,"pixel",23,80,1,50
11,0,NA,"eucdist",16.1554946899414,"pixel",23,80,1,50
12,0,NA,"eucdist",15.2315464019775,"pixel",23,80,1,50
13,0,NA,"eucdist",14.3178215026855,"pixel",23,80,1,50
14,0,NA,"eucdist",13.416407585144,"pixel",23,80,1,50
15,0,NA,"eucdist",12.5299644470215,"pixel",23,80,1,50
16,0,NA,"eucdist",11.6619033813477,"pixel",23,80,1,50
17,0,NA,"eucdist",10.8166542053223,"pixel",23,80,1,50
18,0,NA,"eucdist",10,"pixel",23,80,1,50
19,0,NA,"eucdist",9.21954441070557,"pixel",23,80,1,50
20,0,NA,"eucdist",8.48528099060059,"pixel",23,80,1,50
21,0,NA,"eucdist",7.81024980545044,"pixel",23,80,1,50
22,0,NA,"eucdist",7.07106781005859,"pixel",23,80,1,50
23,0,NA,"eucdist",6.40312433242798,"pixel",23,80,1,50
24,0,NA,"eucdist",5.65685415267944,"pixel",23,80,1,50
25,0,NA,"eucdist",5,"pixel",23,80,1,50
26,0,NA,"eucdist",4.24264049530029,"pixel",23,80,1,50
27,0,NA,"eucdist",3.60555124282837,"pixel",23,80,1,50
28,0,NA,"eucdist",3.16227769851685,"pixel",23,80,1,50
29,0,NA,"eucdist",3,"pixel",23,80,1,50
30,0,NA,"eucdist",3,"pixel",23,80,1,50
31,0,NA,"eucdist",3,"pixel",23,80,1,50
32,0,NA,"eucdist",3,"pixel",23,80,1,50
33,0,NA,"eucdist",3,"pixel",23,80,1,50
34,0,NA,"eucdist",3.16227769851685,"pixel",23,80,1,50
35,0,NA,"eucdist",3.60555124282837,"pixel",23,80,1,50
36,0,NA,"eucdist",4.24264049530029,"pixel",23,80,1,50
37,0,NA,"eucdist",5,"pixel",23,80,1,50
38,0,NA,"eucdist",5.65685415267944,"pixel",23,80,1,50
39,0,NA,"eucdist",6.40312433242798,"pixel",23,80,1,50
40,0,NA,"eucdist",7.07106781005859,"pixel",23,80,1,50
41,0,NA,"eucdist",7.81024980545044,"pixel",23,80,1,50
42,0,NA,"eucdist",8.48528099060059,"pixel",23,80,1,50
43,0,NA,"eucdist",9.21954441070557,"pixel",23,80,1,50
44,0,NA,"eucdist",10,"pixel",23,80,1,50
45,0,NA,"eucdist",10.8166542053223,"pixel",23,80,1,50
